Rank,PoS
1080,adj
1081,noun
1082,noun
1083,verb
1084,adj
1085,noun
1086,noun
1087,noun
1088,noun
1089,noun
1090,noun
1091,noun
1092,noun
1093,adj
1094,prep
1095,noun
1096,verb
1097,noun
1098,verb
1099,verb
1100,noun
1101,pron
1102,verb
1103,verb
1104,noun
1105,noun
1106,noun
1107,verb
1108,verb
1109,adj
1110,adv
1111,adj
1112,verb
1113,noun
1114,verb
1115,noun
1116,adj
1117,adj
1118,adj
1119,adv
1120,verb
1121,adj
1122,verb
1123,noun
1124,noun
1125,noun
1126,noun
1127,verb
1128,noun
1129,verb
1130,verb
1131,noun
1132,noun
1133,adj
1134,noun
1135,noun
1136,adj
1137,noun
1138,adv
1139,verb
1140,verb
1141,noun
1142,noun
1143,noun
1144,verb
1145,verb
1146,noun
1147,verb
1148,noun
1149,noun
1150,noun
1151,verb
1152,verb
1153,adj
1154,adj
1155,noun
1156,verb
1157,adj
1158,verb
1159,adj
1160,noun
1161,adj
1162,noun
1163,noun
1164,noun
1165,verb
1166,noun
1167,noun
1168,adj
1169,verb
1170,verb
1171,verb
1172,verb
1173,noun
1174,noun
1175,adj
1176,adv
1177,verb
1178,verb
1179,noun
1180,verb
1181,noun
1182,verb
1183,adj
1184,noun
1185,noun
1186,noun
1187,noun
1188,verb
1189,noun
1190,noun
1191,noun
1192,noun
1193,adj
1194,verb
1195,verb
1196,adj
1197,noun
1198,noun
1199,noun
1200,verb
1201,noun
1202,noun
1203,noun
1204,verb
1205,adj
1206,noun
1207,verb
1208,verb
1209,verb
1210,noun
1211,noun
1212,noun
1213,verb
1214,adj
1215,noun
1216,verb
1217,noun
1218,noun
1219,verb
1220,noun
1221,noun
1222,noun
1223,noun
1224,noun
1225,noun
1226,noun
1227,noun
1228,verb
1229,noun
1230,noun
1231,adj
1232,noun
1233,noun
1234,noun
1235,adj
1236,verb
1237,noun
1238,verb
1239,noun
1240,noun
1241,verb
1242,verb
1243,noun
1244,verb
1245,verb
1246,noun
1247,noun
1248,noun
1249,noun
1250,noun
1251,verb
1252,adj
1253,noun
1254,prep
1255,adv
1256,noun
1257,noun
1258,noun
1259,noun
1260,noun
1261,noun
1262,verb
1263,adj
1264,verb
1265,noun
1266,noun
1267,adv
1268,adj
